Acanthomintha_duttonii
Acanthomintha_ilicifolia
Acanthomintha_lanceolata
Acanthomintha_obovata
Achyrospermum_aethiopicum
Achyrospermum_africanum
Achyrospermum_axillare
Achyrospermum_carvalhoi
Achyrospermum_ciliatum
Achyrospermum_dasytrichum
Achyrospermum_densiflorum
Achyrospermum_erythobotrys
Achyrospermum_fruticosum
Achyrospermum_laterale
Achyrospermum_micranthum
Achyrospermum_oblongifolium
Achyrospermum_parviflorum
Achyrospermum_purpureum
Achyrospermum_scandens
Achyrospermum_schimperi
Achyrospermum_schlechteri
Achyrospermum_swina
Achyrospermum_tisserantii
Achyrospermum_urens
Achyrospermum_wallichianum
Acrotome_angustifolia
Acrotome_fleckii
Acrotome_hispida
Acrotome_inflata
Acrotome_mozambiquensis
Acrotome_pallescens
Acrotome_tenuis
Acrotome_thorncroftii
Aegiphila_aculeifera
Aegiphila_alba
Aegiphila_anomala
Aegiphila_arcta
Aegiphila_australis
Aegiphila_bogotensis
Aegiphila_boliviana
Aegiphila_bracteolosa
Aegiphila_brenesii
Aegiphila_breviflora
Aegiphila_buchtienii
Aegiphila_candelabrum
Aegiphila_capitata
Aegiphila_casseliiformis
Aegiphila_caucensis
Aegiphila_cephalophora
Aegiphila_chrysantha
Aegiphila_conturbata
Aegiphila_cordata
Aegiphila_cordifolia
Aegiphila_costaricensis
Aegiphila_cuatrecasasii
Aegiphila_cuneata
Aegiphila_deppeana
Aegiphila_elata
Aegiphila_elongata
Aegiphila_exiguiflora
Aegiphila_farinosa
Aegiphila_fasciculata
Aegiphila_fendleri
Aegiphila_ferruginea
Aegiphila_filipes
Aegiphila_floribunda
Aegiphila_fluminensis
Aegiphila_foetida
Aegiphila_froesii
Aegiphila_glabrata
Aegiphila_glomerata
Aegiphila_gloriosa
Aegiphila_goeldiana
Aegiphila_grandis
Aegiphila_graveolens
Aegiphila_hastingsiana
Aegiphila_haughtii
Aegiphila_herzogii
Aegiphila_hirsuta
Aegiphila_hirsutissima
Aegiphila_hoehnei
Aegiphila_hystricina
Aegiphila_insignis
Aegiphila_integrifolia
Aegiphila_intermedia
Aegiphila_killipii
Aegiphila_laeta
Aegiphila_laevis
Aegiphila_lanata
Aegiphila_laxiflora
Aegiphila_lehmannii
Aegiphila_lewisiana
Aegiphila_lhotzkiana
Aegiphila_longifolia
Aegiphila_lopez-palacii
Aegiphila_loretensis
Aegiphila_luschnathii
Aegiphila_macrantha
Aegiphila_martinicensis
Aegiphila_mattogrossensis
Aegiphila_mediterranea
Aegiphila_medullosa
Aegiphila_membranacea
Aegiphila_microcalycina
Aegiphila_moldenkeana
Aegiphila_mollis
Aegiphila_monstrosa
Aegiphila_monticola
Aegiphila_mortonii
Aegiphila_multiflora
Aegiphila_narinensis
Aegiphila_nervosa
Aegiphila_novofrifurgensis
Aegiphila_novogranatensis
Aegiphila_obducta
Aegiphila_obovata
Aegiphila_odontophylla
Aegiphila_ovata
Aegiphila_panamensis
Aegiphila_paraguariensis
Aegiphila_paranensis
Aegiphila_parviflora
Aegiphila_pauciflora
Aegiphila_pavoniana
Aegiphila_pennellii
Aegiphila_pernambucensis
Aegiphila_perplexa
Aegiphila_peruviana
Aegiphila_pulcherrima
Aegiphila_purpurascens
Aegiphila_quararibeana
Aegiphila_quinduensis
Aegiphila_racemosa
Aegiphila_riedeliana
Aegiphila_rimbachii
Aegiphila_roraimensis
Aegiphila_saltensis
Aegiphila_salticola
Aegiphila_scandens
Aegiphila_schimpffii
Aegiphila_sellowiana
Aegiphila_setiformis
Aegiphila_skutchii
Aegiphila_smithii
Aegiphila_sordida
Aegiphila_spicata
Aegiphila_spruceana
Aegiphila_standleyi
Aegiphila_steinbachii
Aegiphila_sufflava
